Id|Code|Name|County|Agency|Partner
CBFD1C85-6617-42DA-A88F-00048AFEAB6B|18490|Shujaa Project Namanga|KAJIADO||
85792FAD-A0E1-4880-8E50-000581526F1D|21846|Capital MC|NAKURU||
13518EC6-B7D6-4BA5-A3F7-00084E2CE55E|15568|Sigowet Sub-District Hospital|KERICHO|DOD|HJF-South Rift Valley
8A6E3DD8-96D6-494C-89C0-000E27715737|14377|Cheramei Dispensary|UASIN GISHU||
3D52995A-C310-43E0-94DE-000ED1CDBD1C|21824|Ruungu Dispensary|THARAKA - NITHI||
DD12B318-9808-4E3B-8773-000F50DC896A|12319|Kina Dispensary|MERU||
5AF1A05A-813D-4775-B48E-0010F5EE55C7|16574|Genesis Clinic (Imenti North)|MERU||
136F6F60-EE2D-4E8F-9BD2-00180203DD33|12285|Kiban Medical Clinic (Kangundo)|MACHAKOS||
EDD9C7A5-C6DC-4840-A302-003354E3FDBF|16457|Kaptisi Dispensary|VIHIGA||
D1BD2A16-5594-46DC-87F8-0037908FA0F9|16853|Gikuuri Dispensary (CDF)|EMBU||
31985790-6583-4147-8E47-003A2C8069CB|19466|Remer Medical Clinic|MERU||
FC37E3A1-40DC-44B2-A994-003CEE71EBD8|18236|Cheboin Dispensary (Bureti)|KERICHO||
D38EB4C5-C23E-4F5F-8760-00414354E6FB|18916|Meridian Medical Centre (Machakos)|MACHAKOS||
0B4817F2-C9B0-47B6-AF09-00475F93D1A4|10986|Rwathia Dispensary|MURANG'A||
91192439-72DF-4477-8525-0047B50665B2|10354|Iruri Dispensary|MURANG'A||
5C2A84D0-F274-476A-A504-0048441FA4BD|15350|Ngong Hills Hospital|KAJIADO||
0C38A586-A4DA-4A0C-A3BA-004CD0B65DAE|19312|Kam ENT Services|NAIROBI||
5BE7EC57-1C39-40B9-8DC8-005ADB87C51B|17953|Kiaibabu Dispensary|KIAMBU||
CFF9335F-1A9B-4A09-8782-0066442FEBD6|14892|Kipkabus Forest Dispensary|ELGEYO/MARAKWET||
A72B5C90-5BAD-4773-83D0-006AE5656BEE|12021|Frontier Clinic|MERU||
2BE16551-D0F5-4783-8552-00778991C16D|10528|Kiairathe Dispensary|MURANG'A||
401ABCD7-1E8A-42DD-99C1-00806189DBE4|19646|Dr Mboloi Clinic|NAIROBI||
766A2927-4706-4C7E-954D-008A591C8FC6|13857|Ntimaru Clinic|MIGORI||
F5EADEC8-AB65-41D7-B333-008EE3020FDD|14096|Sondu Sub County Hospital|KISUMU|CDC|CIHEB ENTRENCH
C0B2E33F-091B-411A-B483-008F72D91210|17117|Nalondo Health Centre (Model)|BUNGOMA|USAID|USAID Dumisha Afya
CB97FDBC-D66B-4261-8525-009576ED2164|19773|Nyeri Endoscopy & Surgicare Centre|NYERI||
89C0DF72-DB1A-4DA5-BE8E-00A4F0542482|19885|Ainamoi Dispensary|NAKURU||
95E29305-59C6-4D87-B7F2-00A50E61BCE5|20338|Uturini Community Dispensary|THARAKA - NITHI||
D2E43A47-D7B1-4949-A9EE-00A8E6F02EE9|10050|Bathi Faith (ACK) Medical Clinic|KIAMBU||
80E88CD7-7836-475A-9BB5-00A9B40F6D81|10485|Karatina District Hospital|NYERI|CDC|CHS Tegemeza Plus
B9B0F11B-0298-4072-82C9-00B0320DBD72|12276|Kiangini Dispensary|MAKUENI||
011ECB98-C2BF-4754-A1A4-00BA9D6EC204|18819|Syokimau Medical Services|MACHAKOS||
BF20DB9B-A03A-4B03-8639-00BB27D65150|21108|Sacred Heart of Jesus|NAKURU||
A6219F3C-FAE1-4C19-B4B8-00BE7409A60D|13587|Gongo Dispensary|HOMA BAY|CDC|LVCT Vukisha 95
33EFFEE4-5C2F-4195-BA84-00C1378F9649|11592|Mbuta Model Health Centre|MOMBASA||
5F358D55-D56E-4189-A699-00C9D4987967|20238|Roadway Medical Clinic|UASIN GISHU||
3C8A45C5-9854-4F02-A45B-00CADD879BB5|17970|Similani Medical Clinic|KILIFI||
470B73AE-FD1F-4B08-A0C9-00CB97EE8F1D|13895|Nyamakoroto Dispensary|NYAMIRA||
5E1038D4-7082-469D-B4D5-00E100F4293E|10207|Gatanga Dispensary|MURANG'A||
6249ED6E-4AAF-4809-AA80-00F2A404828D|11314|Dr Bernad M Oduor Clinic|KILIFI||
B46EA26C-B811-4C7D-97B9-00F8BDD231DB|21238|Baharini Dispensary|UASIN GISHU||
E9FC3F7D-2D4C-4AFC-B7D1-00FF4CAEF589|17463|Lagboqol Dispensary|WAJIR||
4EB466E3-AFF6-4B28-9A1A-00FF8D882385|18238|Ngong Rapha Hospital|KAJIADO||
76A51F68-1086-4027-A364-01025707F5BC|14949|Kitale Nursing Home|TRANS NZOIA||
D157E892-969B-4794-B87C-0109BC7D8953|17335|Afwein Dispensary|GARISSA||
0A8906B1-4C83-4772-9777-011999D6EE64|10096|Ciagini Dispensary|KIRINYAGA||
46242A2D-9C31-43D4-A61F-011A515A431C|10059|Bethany Clinic|KIRINYAGA||
BFCE7875-F5B7-4741-B844-011DC358AF07|12470|Manyatta Jillo Health Centre|MARSABIT||
8A770BF2-3298-4C82-80BC-0120D6A77D4E|17975|Tayabi Medical and Dental Centre|MOMBASA||
DA99C123-A194-4200-8A82-0121EAF3A7F4|17842|Kyaluma Dispensary|MAKUENI||
A53F3523-DBF7-4474-B948-012B3229E97F|19359|Boi Dispensary|NANDI||
199B37E7-3F38-439A-A863-01332045704B|16103|Serem Health Centre|VIHIGA|USAID|USAID Boresha Jamii
D45748BB-FB70-40B4-92C6-0135256377B5|15932|Khalumuli Dispensary|BUNGOMA||
8FB46F4F-2BC6-4EA9-A256-0136FCFD0504|17462|St Peter Orthodox Church Dispenasary|KIAMBU||
904D395A-4125-4FBF-A67F-0138A1783939|10051|Batian Eye Clinic|NYERI||
C83753F9-C294-42C4-BF12-013C9DAF878C|18973|Stralight Medical Clinic|NYANDARUA||
E7EBEC7F-9077-4121-BBBD-013FEE9D9FC2|19732|Murarandia Medical Clinic|MURANG'A||
0587D2CC-2A6D-4762-83A5-014098FA8368|13215|St Mary's Medical Clinic (Umoja II)|NAIROBI||
B74723BC-9F02-4510-A14D-01429564023C|18163|Kericho Youth Centre|KERICHO||
20B27535-4077-429D-A409-0144CC0B5CE5|18784|Lenana Hills Hospital|NAROK||
897C5620-2D89-4ECD-9316-014900F95777|17725|Gertrude Komarock Clinic|NAIROBI|USAID|USAID Fahari ya Jamii
14504550-04CA-4DB3-87F0-014B995DB613|10836|Ndugamano Dispensary|NYERI||
4085C51A-7A75-48B6-A7B6-014D96C25A71|18282|Glovnet VCT|NAIROBI||
761E3846-F369-448B-BB32-015B2EDFF017|21411|Kamsaki Dispensary|MIGORI||
E4218475-00B0-420B-BCF0-015B55E11168|10364|Jaima Clinic|KIRINYAGA||
4A35978F-B2FF-454D-ADA5-015DD4C3FBEC|21932|Wajir East  nomadic clinic|WAJIR||
7D9C16F9-683E-4E9C-A8C7-0163D050FFF7|12401|Kwitu Medical Clinic|MACHAKOS||
3603C773-AC1C-47EA-B2A8-0167A780BB3C|14811|Kasitet Dispensary|BARINGO||
915B930A-EC6C-4FC8-A59C-0169903723AF|13335|Elwak District Hospital|MANDERA||
411CC7E6-89DF-4208-BA63-0173406ECE9F|10073|Blue Line Clinic|KIRINYAGA||
F8290CDA-69D3-43D2-87DF-0173A07D8AAB|21541|Mkondoni Dispensary|KILIFI||
EB27135D-E56C-4B95-86CA-0173BC7525C9|20787|Mathanguni Dispensary|MAKUENI||
3A12572F-7B66-44B9-9598-01795593B41E|14606|Kabarak Health Centre|NAKURU||
135908C1-FE97-4D21-919F-017DCE126B78|17951|Josma Medical Clinic (Kasarani)|NAIROBI||
A50B20D6-BC30-46FD-8C6D-018018AA7E3E|16283|Kadinda Health Centre|KISUMU|CDC|CIHEB ENTRENCH
7BD7E01B-E2A5-4C79-B73A-0189CB8F5C19|19815|Agro Chemical Dispensary|KISUMU||
355153F3-FA33-4BAA-96EE-018D319D7968|11961|Makindu Catholic Dispensary|MAKUENI||
1CF96DFD-D985-4694-8D45-0191E8E402A4|22048|Nairutia Medical Clinic|NYERI||
30B3AA43-4930-4CC5-A969-019CB772C5EB|98999|Pumwani Majengo SWOP|NAIROBI||
8EACC919-CD60-4964-94A8-019E48ADC37A|13581|Gobei  Health Centre|SIAYA|CDC|CHS Shinda Tena
BE17C607-2A16-4278-8487-01B59BA16FF8|20298|Nzikani community centre|KITUI||
2D8D2E89-8BAE-4E32-B550-01BE65922044|15811|Budalangi Dispensary|BUSIA||
D6C9C2D0-94A8-4A5D-AC61-01C1C63B5DEA|21286|Avenue House Medical Centre|NAIROBI||
DC47C1C6-1D41-4618-85CA-01C41143DD5E|19546|Meridian Medical Centre (Kileleshwa)|NAIROBI||
